Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Avg BT,Avg RP,BP%,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Miss,2,1,2%,1,1,50%,5.3,5.0,4.00,-,33:19,10.1,671,455,14.5,594,192
Kalista,2,1,2%,2,0,100%,14.0,9.0,4.00,-,32:24,9.2,882,490,11.5,186,-27
Gwen,1,1,2%,1,0,100%,2.7,10.0,2.00,-,58:51,7.4,764,426,-13,541,-139
Jayce,1,1,2%,0,1,0%,0.5,10.0,3.00,-,29:25,7.7,566,334,15,341,-1016
Nidalee,1,1,2%,1,0,100%,16.0,6.0,4.00,-,32:03,7.7,492,409,21,339,764
Mel,3,0,1%,3,0,100%,3.7,-,3.33,-,35:34,7.4,874,430,15,563,441
Elise,1,0,1%,0,1,0%,0.8,-,1.00,-,31:10,1.5,338,237,5,388,189
Morgana,1,0,1%,0,1,0%,0.8,-,1.00,-,27:53,1.0,255,226,-8,-226,119
Swain,1,0,1%,0,1,0%,1.6,-,1.00,-,27:22,8.1,653,388,2,210,107
Twisted,0,1,1%,,,,,7.0,-,-,,,,,,,
Volibear,0,1,1%,,,,,5.0,-,-,,,,,,,
Senna,1,0,1%,0,1,0%,1.0,-,1.00,-,24:50,8.2,839,375,-4,-418,-361
Lillia,0,1,1%,,,,,7.0,-,-,,,,,,,
Vex,0,1,1%,,,,,10.0,-,-,,,,,,,
Camille,3,0,1%,2,1,67%,2.8,-,3.67,-,32:00,7.9,569,425,-6.3,119,198
Vayne,2,0,1%,1,1,50%,6.4,-,2.50,-,35:09,8.9,836,458,-9,278,14
Viego,2,0,1%,1,1,50%,3.8,-,3.00,-,33:06,7.6,528,424,-4,-838,-702
Kassadin,1,0,1%,0,1,0%,0.7,-,2.00,-,26:46,8.3,401,327,-13,-599,387
Soraka,1,0,1%,0,1,0%,1.0,-,2.00,-,31:34,0.9,191,199,4,-273,132
Zed,1,0,1%,0,1,0%,2.0,-,2.00,-,29:20,7.2,575,388,9,-154,525
Thresh,1,0,0%,0,1,0%,0.7,-,3.00,-,29:17,0.9,76,216,4,201,-52
Ivern,1,0,0%,0,1,0%,1.0,-,3.00,-,29:17,5.2,170,334,-21,329,-281
Gragas,1,0,0%,1,0,100%,4.5,-,4.00,-,29:40,6.7,682,373,-11,-150,-355
Gnar,1,0,0%,1,0,100%,2.0,-,4.00,-,29:24,8.5,491,407,18,-190,914
Tahm,1,0,0%,0,1,0%,1.5,-,4.00,-,29:40,0.9,192,200,0,-175,-369
Jinx,1,0,0%,0,1,0%,14.0,-,5.00,-,35:15,8.1,696,395,-23,291,-631
Seraphine,1,0,0%,1,0,100%,5.0,-,5.00,-,35:15,1.0,386,272,-6,-53,-192
Amumu,0,0,0%,,,,,-,-,-,,,,,,,
Brand,0,0,0%,,,,,-,-,-,,,,,,,
Chogath,0,0,0%,,,,,-,-,-,,,,,,,
Darius,0,0,0%,,,,,-,-,-,,,,,,,
Diana,0,0,0%,,,,,-,-,-,,,,,,,
